Get-Rich-Quick Scroll: filler
tech_grn_end_3_1: unknown
tech_grn_end_3_2: unknown
tech_grn_end_3_3: unknown
tech_grn_end_4_1: unknown
tech_grn_end_4_2: unknown
tech_grn_end_4_3: unknown
tech_grn_end_5_1: unknown
tech_grn_end_5_2: unknown
tech_grn_end_5_3: unknown
tech_grn_extra_1_1: unknown
tech_grn_extra_1_2: unknown
tech_grn_extra_1_3: unknown
tech_grn_extra_1_4: unknown
tech_grn_extra_2_1: unknown
tech_grn_extra_2_2: unknown
tech_grn_extra_2_3: unknown
tech_grn_extra_2_4: unknown
tech_grn_extra_3_1: unknown
tech_grn_extra_3_2: unknown
tech_grn_extra_3_3: unknown
tech_grn_extra_3_4: unknown
tech_grn_final_1_1: unknown
tech_grn_final_1_2: unknown
tech_grn_mid_1_1: unknown
tech_grn_mid_2_1: unknown
tech_grn_start_0_1: unknown
tech_grn_start_1_1: unknown
tech_grn_start_1_2: unknown
tech_grn_start_1_3: unknown
tech_grn_start_2_1: unknown
tech_grn_start_2_2: unknown
tech_grn_start_2_3: unknown
tech_grn_start_2_4: unknown
tech_grn_start_3_1: unknown
tech_grn_start_3_2: unknown
tech_grn_start_3_3: unknown
wh2_dlc09_anc_armour_armour_armour_of_dawn: unknown
wh2_dlc09_anc_weapon_golden_dagger: unknown
wh2_dlc09_anc_weapon_inscribed_khopesh: unknown
wh2_dlc09_anc_weapon_spear_of_pakth: unknown
wh2_dlc09_payload_dilemma_soulless_sphinx_first: unknown
wh2_dlc09_ritual_crafting_tmb_army_capacity_16: unknown
wh2_dlc11_bundle_stance_flagship_patrol: unknown
wh2_dlc11_payload_incident_mass_exodus: unknown
wh2_dlc11_payload_incident_perfect_cover: unknown
wh2_dlc11_ror_reward_1: unknown
wh2_dlc11_tech_brt_chivalry_vampire_coast_1: unknown
wh2_dlc12_anc_enchanted_item_plaque_of_sotek: unknown
wh2_dlc12_bundle_anc_magic_standard_cape_of_sniper: unknown
wh2_dlc12_ikit_workshop_doomwheel_part_3: unknown
wh2_dlc12_ikit_workshop_poison_wind_mortar_0: unknown
wh2_dlc13_bundle_nakai_temple_gifted: unknown
wh2_dlc15_hef_dungeon_mistwalker_upgrade_greenskins: unknown
wh2_dlc15_special_settlement_massif_orcal_brt_3: unknown
wh2_dlc16_wef_mon_giant_spiders_0: unknown
wh2_dlc17_anc_blessing_of_mania_banner: unknown
wh2_dlc17_anc_dread_retainer_skinwolf_banner: unknown
wh2_dlc17_anc_talisman_shardstone_amulet: unknown
wh2_dlc17_bst_anc_follower_battle_scarred_ungor_raider: unknown
wh2_dlc17_bst_ruination_passive_tier_6: unknown
wh2_dlc17_threat_map_reward_settlements_4_hard: unknown
wh2_main_anc_armour_shroud_of_death: unknown
wh2_main_anc_talisman_amulet_of_foresight: unknown
wh2_main_anc_weapon_wrath_of_kurnous: unknown
wh2_main_brt_resource_animals_2: unknown
wh2_main_brt_resource_animals_3: unknown
wh2_main_brt_resource_dyes_3: unknown
wh2_main_brt_resource_furs_2: unknown
wh2_main_brt_resource_marble_2: unknown
wh2_main_brt_resource_marble_3: unknown
wh2_main_brt_resource_medicine_3: unknown
wh2_main_brt_resource_pottery_3: useful
wh2_main_brt_resource_salt_3: unknown
wh2_main_brt_resource_spices_3: unknown
wh2_main_brt_resource_timber_3: unknown
wh2_main_brt_resource_wine_2: unknown
wh2_main_brt_resource_wine_3: unknown
wh2_main_effect_force_unit_stat_morale_melee_attack_versus_high_elves: unknown
wh2_main_hef_intrigue_signed_sealed_delivered_third: unknown
wh2_main_ritual_grn_waaagh: unknown
wh2_main_special_settlement_sartosa_brt_2: unknown
wh2_main_special_settlement_sartosa_brt_4: unknown
wh3_dlc20_bundle_chs_authority_tzeentch_8: unknown
wh3_dlc20_payload_dilemma_dicovered_ritual_khorne_first: unknown
wh3_dlc24_anc_cth_magistrate_specialist_monster_hunter: unknown
wh3_dlc24_ksl_inf_akshina_ambushers: unknown
wh3_dlc24_ksl_inf_akshina_ambushers_ror: unknown
wh3_dlc24_ksl_inf_streltsi_ror: unknown
wh3_dlc24_ksl_mon_frost_wyrm: unknown
wh3_dlc24_ksl_mon_incarnate_elemental_of_beasts: unknown
wh3_dlc24_ksl_mon_the_things_in_the_woods: unknown
wh3_dlc24_ksl_mon_the_things_in_the_woods_ror: unknown
wh3_dlc24_mission_schemes_naggaroth_minor_3: unknown
wh3_dlc24_ritual_ksl_hex_1: unknown
wh3_dlc24_ritual_ksl_hex_1_empowered: unknown
wh3_dlc24_ritual_ksl_hex_2_ie_forest_of_gloom: unknown
wh3_dlc24_ritual_ksl_hex_2_ie_forest_of_gloom_empowered: unknown
wh3_dlc24_ritual_ksl_hex_2_ie_gaean_vale: unknown
wh3_dlc24_ritual_ksl_hex_2_ie_gaean_vale_empowered: unknown
wh3_dlc24_ritual_ksl_hex_2_ie_gryphon_wood: unknown
wh3_dlc24_ritual_ksl_hex_2_ie_gryphon_wood_empowered: unknown
wh3_dlc24_ritual_ksl_hex_2_ie_heart_of_the_jungle: unknown
wh3_dlc24_ritual_ksl_hex_2_ie_heart_of_the_jungle_empowered: unknown
wh3_dlc24_ritual_ksl_hex_2_ie_jungles_of_chian: unknown
wh3_dlc24_ritual_ksl_hex_2_ie_jungles_of_chian_empowered: unknown
wh3_dlc24_ritual_ksl_hex_2_ie_laurelorn_forest: unknown
wh3_dlc24_ritual_ksl_hex_2_ie_laurelorn_forest_empowered: unknown
wh3_dlc24_ritual_ksl_hex_2_ie_oak_of_ages: unknown
wh3_dlc24_ritual_ksl_hex_2_ie_oak_of_ages_empowered: unknown
wh3_dlc24_ritual_ksl_hex_2_ie_the_haunted_forest: unknown
wh3_dlc24_ritual_ksl_hex_2_ie_the_haunted_forest_empowered: unknown
wh3_dlc24_ritual_ksl_hex_2_ie_the_sacred_pools: unknown
wh3_dlc24_ritual_ksl_hex_2_ie_the_sacred_pools_empowered: unknown
wh3_dlc24_ritual_ksl_hex_2_ie_the_witchwood: unknown
wh3_dlc24_ritual_ksl_hex_2_ie_the_witchwood_empowered: unknown
wh3_dlc24_ritual_ksl_hex_2_roc_fort_dolganyeir: unknown
wh3_dlc24_ritual_ksl_hex_2_roc_fort_dolganyeir_empowered: unknown
wh3_dlc24_ritual_ksl_hex_2_roc_laurelorn_forest: unknown
wh3_dlc24_ritual_ksl_hex_2_roc_laurelorn_forest_empowered: unknown
wh3_dlc24_ritual_ksl_hex_2_roc_the_haunted_forest: unknown
wh3_dlc24_ritual_ksl_hex_2_roc_the_haunted_forest_empowered: unknown
wh3_dlc24_ritual_ksl_hex_3: unknown
wh3_dlc24_ritual_ksl_hex_3_empowered: unknown
wh3_dlc24_ritual_ksl_hex_4: unknown
wh3_dlc24_ritual_ksl_hex_4_empowered: unknown
wh3_dlc24_ritual_ksl_hex_5: unknown
wh3_dlc24_ritual_ksl_hex_5_empowered: unknown
wh3_dlc24_ritual_ksl_hex_6: unknown
wh3_dlc25_anc_enchanted_item_epidemius_hourglass: unknown
wh3_dlc25_dwf_ritual_mercenary_unit_pack_grudge_thrower: unknown
wh3_dlc25_dwf_ritual_mercenary_unit_pack_quarrellers: unknown
wh3_dlc25_nur_force_1_positive: unknown
wh3_dlc25_nur_payload_dilemma_chieftains_kazyk_werekin_incident: unknown
wh3_dlc25_ritual_emp_don_land_ship_1: unknown
wh3_dlc25_ritual_emp_don_purple_eclipse: unknown
wh3_dlc26_anc_cloak_of_skulls: unknown
wh3_dlc26_anc_weapon_bloodstorm_blades: unknown
wh3_main_anc_arcane_item_kairos_life: unknown
wh3_main_anc_armour_accursed_armour: unknown
wh3_main_anc_enchanted_item_cauldron_of_the_great_maw: unknown
wh3_main_anc_enchanted_item_maads_map: unknown
wh3_main_anc_enchanted_item_spotters_spyglass: unknown
wh3_main_anc_talisman_overtyrants_crown: filler
wh3_main_anc_weapon_necrotic_missiles: unknown
wh3_main_anc_weapon_slaaneshs_blade: unknown
wh3_main_anc_weapon_the_bane_spear: unknown
wh3_main_bundle_corruption_chaos_bad_21-30: unknown
wh3_main_bundle_corruption_khorne_good_1-10: unknown
wh3_main_bundle_corruption_khorne_good_71-80: unknown
wh3_main_bundle_corruption_slaanesh_bad_41-50: unknown
wh3_main_bundle_daemon_prince_soul_ogr: unknown
wh3_main_bundle_lock_recruitment_wh3_main_kho_mon_bloodthirster_0: unknown
wh3_main_corruption_slaanesh_cult_of_pleasure_71-80: unknown
wh3_main_dilemma_ksl_1_first: unknown
wh3_main_ksl_cav_gryphon_legion_0: unknown
wh3_main_ksl_cav_horse_archers_0: unknown
wh3_main_ksl_cav_war_bear_riders_1: unknown
wh3_main_ksl_cav_winged_lancers_0: unknown
wh3_main_ksl_inf_armoured_kossars_0: unknown
wh3_main_ksl_inf_armoured_kossars_1: unknown
wh3_main_ksl_inf_ice_guard_0: unknown
wh3_main_ksl_inf_ice_guard_1: unknown
wh3_main_ksl_inf_kossars_1: unknown
wh3_main_ksl_inf_streltsi_0: unknown
wh3_main_ksl_inf_tzar_guard_0: unknown
wh3_main_ksl_inf_tzar_guard_1: unknown
wh3_main_ksl_mon_snow_leopard_0: unknown
wh3_main_ksl_veh_heavy_war_sled_0: unknown
wh3_main_ksl_veh_light_war_sled_0: unknown
wh3_main_ksl_veh_little_grom_0: unknown
wh3_main_minor_cult_tilean_traders: unknown
wh3_main_monster_feral_bears: unknown
wh3_main_operation_set_ksl_ice_court_support: unknown
wh3_main_operation_set_ksl_orthodoxy_support: unknown
wh3_main_ritual_dae_ascend_slaanesh: unknown
wh3_main_ritual_ksl_winter_dazh_force: unknown
wh3_main_ritual_ksl_winter_dazh_province: unknown
wh3_main_ritual_ksl_winter_salyak_force: unknown
wh3_main_ritual_ksl_winter_salyak_province: unknown
wh3_main_ritual_ksl_winter_tor_province: unknown
wh3_main_ritual_ksl_winter_ursun_force: unknown
wh3_main_ritual_ksl_winter_ursun_province: unknown
wh3_twa06_ksl_inf_tzar_guard_ror_0: unknown
wh3_twa07_ksl_cav_war_bear_riders_ror_0: unknown
wh3_twa08_ksl_mon_elemental_bear_0_ror: unknown
wh3_twa10_ksl_inf_armoured_kossars_ror: unknown
wh_dlc03_bundle_anc_mark_of_chaos_gouge_tusks: unknown
wh_dlc05_tech_1_cadai: unknown
wh_dlc05_tech_1_isha: unknown
wh_dlc05_tech_1_ladrielle: unknown
wh_dlc05_tech_1_lileath: unknown
wh_dlc05_tech_1_loec: unknown
wh_dlc05_tech_1_vaul: unknown
wh_dlc05_tech_2_addaioth: unknown
wh_dlc05_tech_2_anath_raema: unknown
wh_dlc05_tech_2_eldrazor: unknown
wh_dlc05_tech_2_ereth_khial: unknown
wh_dlc05_tech_2_hekarti: unknown
wh_dlc05_tech_2_hukon: unknown
wh_dlc07_brt_cav_grail_guardians_0: unknown
wh_dlc07_brt_inf_battle_pilgrims_0: unknown
wh_dlc07_brt_inf_foot_squires_0: unknown
wh_dlc07_tech_brt_chivalry_beastmen_1: unknown
wh_dlc07_tech_brt_chivalry_chaos_1: unknown
wh_dlc07_tech_brt_chivalry_dark_elves: unknown
wh_dlc07_tech_brt_chivalry_greenskins_1: unknown
wh_dlc07_tech_brt_chivalry_greenskins_2: unknown
wh_dlc07_tech_brt_chivalry_norsca_1: unknown
wh_dlc07_tech_brt_chivalry_norsca_2: unknown
wh_dlc07_tech_brt_chivalry_skaven: unknown
wh_dlc07_tech_brt_chivalry_tomb_kings: unknown
wh_dlc07_tech_brt_chivalry_vampires_1: unknown
wh_dlc07_tech_brt_chivalry_wood_elves_1: unknown
wh_dlc07_tech_brt_economy_farm_3: unknown
wh_dlc07_tech_brt_economy_farm_farriers: unknown
wh_dlc07_tech_brt_economy_farm_hay: progression
wh_dlc07_tech_brt_economy_industry_2: unknown
wh_dlc07_tech_brt_economy_industry_3: progression
wh_dlc07_tech_brt_economy_industry_4: unknown
wh_dlc07_tech_brt_economy_industry_pottery: unknown
wh_dlc07_tech_brt_economy_industry_steel: unknown
wh_dlc07_tech_brt_economy_industry_tournaments: unknown
wh_dlc07_tech_brt_economy_other_1: unknown
wh_dlc07_tech_brt_economy_other_carpenters: unknown
wh_dlc07_tech_brt_economy_other_draft: unknown
wh_dlc07_tech_brt_economy_other_siege: unknown
wh_dlc07_tech_brt_economy_other_tithes: unknown
wh_dlc07_tech_brt_economy_trade_1: unknown
wh_dlc07_tech_brt_economy_trade_2: unknown
wh_dlc07_tech_brt_heraldry_artois: progression
wh_dlc07_tech_brt_heraldry_bretonnia: unknown
wh_dlc07_tech_brt_heraldry_lyonesse: unknown
wh_dlc07_tech_brt_heraldry_parravon: unknown
wh_dlc07_tech_brt_heraldry_unification: unknown
wh_dlc08_payload_rare_metal_first: unknown
wh_dlc13_anc_weapon_anguish_of_languille: unknown
wh_main_anc_arcane_item_channelling_staff: unknown
wh_main_anc_arcane_item_sceptre_of_stability: unknown
wh_main_anc_arcane_item_scroll_of_shielding: unknown
wh_main_anc_armour_armour_of_silvered_steel: unknown
wh_main_anc_armour_glittering_scales: unknown
wh_main_anc_armour_helm_of_discord: unknown
wh_main_anc_armour_shield_of_ptolos: unknown
wh_main_anc_armour_spellshield: unknown
wh_main_anc_enchanted_item_crown_of_command: unknown
wh_main_anc_enchanted_item_featherfoe_torc: unknown
wh_main_anc_enchanted_item_ironcurse_icon: unknown
wh_main_anc_enchanted_item_the_other_tricksters_shard: unknown
wh_main_anc_magic_standard_banner_of_eternal_flame: unknown
wh_main_anc_magic_standard_rangers_standard: unknown
wh_main_anc_magic_standard_war_banner: unknown
wh_main_anc_talisman_obsidian_amulet: unknown
wh_main_anc_talisman_obsidian_trinket: unknown
wh_main_anc_weapon_sword_of_bloodshed: unknown
wh_main_brt_cav_grail_knights: unknown
wh_main_brt_cav_knights_of_the_realm: unknown
wh_main_brt_cav_mounted_yeomen_1: unknown
wh_main_brt_cav_pegasus_knights: unknown
wh_main_brt_farm_extra_2: unknown
wh_main_brt_hospital_2: unknown
wh_main_brt_industry_basic_3: unknown
wh_main_brt_industry_extra_2: unknown
wh_main_brt_legendary_port_2: unknown
wh_main_brt_smiths_2: unknown
wh_main_brt_stables_2: unknown
wh_main_brt_stables_3: unknown
wh_main_brt_stables_5: unknown
wh_main_brt_tavern_2: unknown
wh_main_brt_tavern_4: unknown
