Checkmark: unknown
Filler: filler
Puzzle 1189: unknown
Puzzle 119: unknown
Puzzle 1190: unknown
Puzzle 1191: unknown
Puzzle 1192: unknown
Puzzle 1193: unknown
Puzzle 1194: unknown
Puzzle 1195: unknown
Puzzle 1196: unknown
Puzzle 1197: unknown
Puzzle 1198: unknown
Puzzle 1199: unknown
Puzzle 12: progression
Puzzle 120: unknown
Puzzle 1200: unknown
Puzzle 1201: unknown
Puzzle 1202: unknown
Puzzle 1203: unknown
Puzzle 1204: unknown
Puzzle 1205: unknown
Puzzle 1206: unknown
Puzzle 1207: unknown
Puzzle 1208: unknown
Puzzle 1209: unknown
Puzzle 121: progression
Puzzle 1210: unknown
Puzzle 1211: unknown
Puzzle 1212: unknown
Puzzle 1213: unknown
Puzzle 1214: unknown
Puzzle 1215: unknown
Puzzle 1216: unknown
Puzzle 1217: unknown
Puzzle 1218: unknown
Puzzle 1219: unknown
Puzzle 122: unknown
Puzzle 1220: unknown
Puzzle 1221: unknown
Puzzle 1222: unknown
Puzzle 1223: unknown
Puzzle 1224: unknown
Puzzle 1225: unknown
Puzzle 1226: unknown
Puzzle 1227: unknown
Puzzle 1228: unknown
Puzzle 1229: unknown
Puzzle 123: unknown
Puzzle 1230: unknown
Puzzle 1231: unknown
Puzzle 1232: unknown
Puzzle 1233: unknown
Puzzle 1234: unknown
Puzzle 1235: unknown
Puzzle 1236: unknown
Puzzle 1237: unknown
Puzzle 1238: unknown
Puzzle 1239: unknown
Puzzle 124: unknown
Puzzle 1240: unknown
Puzzle 1241: unknown
Puzzle 1242: unknown
Puzzle 1243: unknown
Puzzle 1244: unknown
Puzzle 1245: unknown
Puzzle 1246: unknown
Puzzle 1247: unknown
Puzzle 1248: unknown
Puzzle 1249: unknown
Puzzle 125: progression
Puzzle 1250: unknown
Puzzle 1251: unknown
Puzzle 1252: unknown
Puzzle 1253: unknown
Puzzle 1254: unknown
Puzzle 1255: unknown
Puzzle 1256: unknown
Puzzle 1257: unknown
Puzzle 1258: unknown
Puzzle 1259: unknown
Puzzle 126: unknown
Puzzle 1260: unknown
Puzzle 1261: unknown
Puzzle 1262: unknown
Puzzle 1263: unknown
Puzzle 1264: unknown
Puzzle 1265: unknown
Puzzle 1266: unknown
Puzzle 1267: unknown
Puzzle 1268: unknown
Puzzle 1269: unknown
Puzzle 127: progression
Puzzle 1270: unknown
Puzzle 1271: unknown
Puzzle 1272: unknown
Puzzle 1273: unknown
Puzzle 1274: unknown
Puzzle 1275: unknown
Puzzle 1276: unknown
Puzzle 1277: unknown
Puzzle 1278: unknown
Puzzle 1279: unknown
Puzzle 128: progression
Puzzle 1280: unknown
Puzzle 1281: unknown
Puzzle 1282: unknown
Puzzle 1283: unknown
Puzzle 1284: unknown
Puzzle 1285: unknown
Puzzle 1286: unknown
Puzzle 1287: unknown
Puzzle 1288: unknown
Puzzle 1289: unknown
Puzzle 129: unknown
Puzzle 1290: unknown
Puzzle 1291: unknown
Puzzle 1292: unknown
Puzzle 1293: unknown
Puzzle 1294: unknown
Puzzle 1295: unknown
Puzzle 1296: unknown
Puzzle 1297: unknown
Puzzle 1298: unknown
Puzzle 1299: unknown
Puzzle 13: unknown
Puzzle 130: unknown
Puzzle 1300: unknown
Puzzle 1301: unknown
Puzzle 1302: unknown
Puzzle 1303: unknown
Puzzle 1304: unknown
Puzzle 1305: unknown
Puzzle 1306: unknown
Puzzle 1307: unknown
Puzzle 1308: unknown
Puzzle 1309: unknown
Puzzle 131: progression
Puzzle 1310: unknown
Puzzle 1311: unknown
Puzzle 1312: unknown
Puzzle 1313: unknown
Puzzle 1314: unknown
Puzzle 1315: unknown
Puzzle 1316: unknown
Puzzle 1317: unknown
Puzzle 1318: unknown
Puzzle 1319: unknown
Puzzle 132: unknown
Puzzle 1320: unknown
Puzzle 1321: unknown
Puzzle 1322: unknown
Puzzle 1323: unknown
Puzzle 1324: unknown
Puzzle 1325: unknown
Puzzle 1326: unknown
Puzzle 1327: unknown
Puzzle 1328: unknown
Puzzle 1329: unknown
Puzzle 133: progression
Puzzle 1330: unknown
Puzzle 1331: unknown
Puzzle 1332: unknown
Puzzle 1333: unknown
Puzzle 1334: unknown
Puzzle 1335: unknown
Puzzle 1336: unknown
Puzzle 1337: unknown
Puzzle 1338: unknown
Puzzle 1339: unknown
Puzzle 134: unknown
Puzzle 1340: unknown
Puzzle 1341: unknown
Puzzle 1342: unknown
Puzzle 1343: unknown
Puzzle 1344: unknown
Puzzle 1345: unknown
Puzzle 1346: unknown
Puzzle 1347: unknown
Puzzle 1348: unknown
Puzzle 1349: unknown
Puzzle 135: unknown
Puzzle 1350: unknown
Puzzle 1351: unknown
Puzzle 1352: unknown
Puzzle 1353: unknown
Puzzle 1354: unknown
Puzzle 1355: unknown
Puzzle 1356: unknown
Puzzle 1357: unknown
Puzzle 1358: unknown
Puzzle 1359: unknown
Puzzle 136: useful
Puzzle 1360: unknown
Puzzle 1361: unknown
Puzzle 1362: unknown
Puzzle 1363: unknown
Puzzle 1364: unknown
Puzzle 1365: unknown
Puzzle 1366: unknown
Puzzle 1367: unknown
Puzzle 1368: unknown
Puzzle 1369: unknown
Puzzle 137: unknown
Puzzle 1370: unknown
Puzzle 1371: unknown
Puzzle 1372: unknown
Puzzle 1373: unknown
Puzzle 1374: unknown
Puzzle 1375: unknown
Puzzle 1376: unknown
Puzzle 1377: unknown
Puzzle 1378: unknown
Puzzle 1379: unknown
Puzzle 138: progression
Puzzle 1380: unknown
Puzzle 1381: unknown
Puzzle 1382: unknown
Puzzle 1383: unknown
Puzzle 1384: unknown
Puzzle 1385: unknown
Puzzle 1386: unknown
Puzzle 1387: unknown
Puzzle 1388: unknown
Puzzle 1389: unknown
Puzzle 139: unknown
Puzzle 1390: unknown
Puzzle 1391: unknown
Puzzle 1392: unknown
Puzzle 1393: unknown
Puzzle 1394: unknown
Puzzle 1395: unknown
Puzzle 1396: unknown
Puzzle 1397: unknown
Puzzle 1398: unknown
Puzzle 1399: unknown
Puzzle 14: unknown
Puzzle 140: progression
Puzzle 1400: unknown
Puzzle 1401: unknown
Puzzle 1402: unknown
Puzzle 1403: unknown
Puzzle 1404: unknown
Puzzle 1405: unknown
Puzzle 1406: unknown
Puzzle 1407: unknown
Puzzle 1408: unknown
Puzzle 1409: unknown
Puzzle 141: progression
Puzzle 1410: unknown
Puzzle 1411: unknown
Puzzle 1412: unknown
Puzzle 1413: unknown
Puzzle 1414: unknown
Puzzle 1415: unknown
Puzzle 1416: unknown
Puzzle 1417: unknown
Puzzle 1418: unknown
Puzzle 1419: unknown
Puzzle 142: progression
Puzzle 1420: unknown
Puzzle 1421: unknown
Puzzle 1422: unknown
Puzzle 1423: unknown
Puzzle 1424: unknown
Puzzle 1425: unknown
Puzzle 1426: unknown
Puzzle 1427: unknown
Puzzle 1428: unknown
Puzzle 1429: unknown
Puzzle 143: progression
Puzzle 1430: unknown
Puzzle 1431: unknown
Puzzle 1432: unknown
Puzzle 1433: unknown
Puzzle 1434: unknown
Puzzle 1435: unknown
Puzzle 1436: unknown
Puzzle 1437: unknown
Puzzle 1438: unknown
Puzzle 1439: unknown
Puzzle 144: progression
Puzzle 1440: unknown
Puzzle 1441: unknown
Puzzle 1442: unknown
Puzzle 1443: unknown
Puzzle 1444: unknown
Puzzle 1445: unknown
Puzzle 1446: unknown
Puzzle 1447: unknown
Puzzle 1448: unknown
Puzzle 1449: unknown
Puzzle 145: unknown
Puzzle 1450: unknown
Puzzle 1451: unknown
Puzzle 1452: unknown
Puzzle 1453: unknown
Puzzle 1454: unknown
Puzzle 1455: unknown
Puzzle 1456: unknown
Puzzle 1457: unknown
Puzzle 1458: unknown
Puzzle 1459: unknown
Puzzle 146: progression
Puzzle 1460: unknown
Puzzle 1461: unknown
Puzzle 1462: unknown
Puzzle 1463: unknown
Puzzle 1464: unknown
Puzzle 1465: unknown
Puzzle 1466: unknown
Puzzle 1467: unknown
Puzzle 1468: unknown
Puzzle 1469: unknown
Puzzle 147: unknown
Puzzle 1470: unknown
Puzzle 1471: unknown
Puzzle 1472: unknown
Puzzle 1473: unknown
Puzzle 1474: unknown
Puzzle 1475: unknown
Puzzle 1476: unknown
Puzzle 1477: unknown
Puzzle 1478: unknown
Puzzle 1479: unknown
Puzzle 148: progression
Puzzle 1480: unknown
Puzzle 1481: unknown
Puzzle 1482: unknown
Puzzle 1483: unknown
Puzzle 1484: unknown
Puzzle 1485: unknown
Puzzle 1486: unknown
Puzzle 1487: unknown
Puzzle 1488: unknown
Puzzle 1489: unknown
Puzzle 149: unknown
Puzzle 1490: unknown
Puzzle 1491: unknown
Puzzle 1492: unknown
Puzzle 1493: unknown
Puzzle 1494: unknown
Puzzle 1495: unknown
Puzzle 1496: unknown
Puzzle 1497: unknown
Puzzle 1498: unknown
Puzzle 1499: unknown
Puzzle 15: unknown
Puzzle 150: progression
Puzzle 1500: unknown
Puzzle 1501: unknown
Puzzle 1502: unknown
Puzzle 1503: unknown
Puzzle 1504: unknown
Puzzle 1505: unknown
Puzzle 1506: unknown
Puzzle 1507: unknown
Puzzle 1508: unknown
Puzzle 1509: unknown
Puzzle 151: unknown
Puzzle 1510: unknown
Puzzle 1511: unknown
Puzzle 1512: unknown
Puzzle 1513: unknown
Puzzle 1514: unknown
Puzzle 1515: unknown
Puzzle 1516: unknown
Puzzle 1517: unknown
Puzzle 1518: unknown
Puzzle 1519: unknown
Puzzle 152: unknown
Puzzle 1520: unknown
Puzzle 1521: unknown
Puzzle 1522: unknown
Puzzle 1523: unknown
Puzzle 1524: unknown
Puzzle 1525: unknown
Puzzle 1526: unknown
Puzzle 1527: unknown
Puzzle 1528: unknown
Puzzle 1529: unknown
Puzzle 153: unknown
Puzzle 1530: unknown
Puzzle 1531: unknown
Puzzle 1532: unknown
Puzzle 1533: unknown
Puzzle 1534: unknown
Puzzle 1535: unknown
Puzzle 1536: unknown
Puzzle 1537: unknown
Puzzle 1538: unknown
Puzzle 1539: unknown
Puzzle 154: unknown
Puzzle 1540: unknown
Puzzle 1541: unknown
Puzzle 1542: unknown
Puzzle 1543: unknown
Puzzle 1544: unknown
Puzzle 1545: unknown
Puzzle 1546: unknown
Puzzle 1547: unknown
Puzzle 1548: unknown
Puzzle 1549: unknown
Puzzle 155: unknown
Puzzle 1550: unknown
Puzzle 1551: unknown
Puzzle 1552: unknown
Puzzle 1553: unknown
Puzzle 1554: unknown
Puzzle 1555: unknown
Puzzle 1556: unknown
Puzzle 1557: unknown
Puzzle 1558: unknown
Puzzle 1559: unknown
Puzzle 156: unknown
Puzzle 1560: unknown
Puzzle 1561: unknown
Puzzle 1562: unknown
Puzzle 1563: unknown
Puzzle 1564: unknown
Puzzle 1565: unknown
Puzzle 1566: unknown
Puzzle 1567: unknown
Puzzle 1568: unknown
Puzzle 1569: unknown
Puzzle 157: unknown
Puzzle 1570: unknown
Puzzle 1571: unknown
Puzzle 1572: unknown
Puzzle 1573: unknown
Puzzle 1574: unknown
Puzzle 1575: unknown
Puzzle 1576: unknown
Puzzle 1577: unknown
Puzzle 1578: unknown
Puzzle 1579: unknown
Puzzle 158: unknown
Puzzle 1580: unknown
Puzzle 1581: unknown
Puzzle 1582: unknown
Puzzle 1583: unknown
Puzzle 1584: unknown
Puzzle 1585: unknown
Puzzle 1586: unknown
Puzzle 1587: unknown
Puzzle 1588: unknown
Puzzle 1589: unknown
Puzzle 159: unknown
Puzzle 1590: unknown
Puzzle 1591: unknown
Puzzle 1592: unknown
Puzzle 1593: unknown
Puzzle 1594: unknown
Puzzle 1595: unknown
Puzzle 1596: unknown
Puzzle 1597: unknown
Puzzle 1598: unknown
Puzzle 1599: unknown
Puzzle 16: progression
Puzzle 160: progression
Puzzle 1600: unknown
Puzzle 1601: unknown
Puzzle 1602: unknown
Puzzle 1603: unknown
Puzzle 1604: unknown
Puzzle 1605: unknown
Puzzle 1606: unknown
Puzzle 1607: unknown
Puzzle 1608: unknown
Puzzle 1609: unknown
Puzzle 161: unknown
Puzzle 1610: unknown
Puzzle 1611: unknown
Puzzle 1612: unknown
Puzzle 1613: unknown
Puzzle 1614: unknown
Puzzle 1615: unknown
Puzzle 1616: unknown
Puzzle 1617: unknown
Puzzle 1618: unknown
Puzzle 1619: unknown
Puzzle 162: unknown
Puzzle 1620: unknown
Puzzle 1621: unknown
Puzzle 1622: unknown
Puzzle 1623: unknown
Puzzle 1624: unknown
Puzzle 1625: unknown
Puzzle 1626: unknown
Puzzle 1627: unknown
Puzzle 1628: unknown
Puzzle 1629: unknown
Puzzle 163: unknown
Puzzle 1630: unknown
Puzzle 1631: unknown
Puzzle 1632: unknown
Puzzle 1633: unknown
Puzzle 1634: unknown
Puzzle 1635: unknown
Puzzle 1636: unknown
Puzzle 1637: unknown
Puzzle 1638: unknown
Puzzle 1639: unknown
Puzzle 164: progression
Puzzle 1640: unknown
Puzzle 1641: unknown
Puzzle 1642: unknown
Puzzle 1643: unknown
Puzzle 1644: unknown
Puzzle 1645: unknown
Puzzle 1646: unknown
Puzzle 1647: unknown
Puzzle 1648: unknown
Puzzle 1649: unknown
Puzzle 165: progression
Puzzle 1650: unknown
Puzzle 1651: unknown
Puzzle 1652: unknown
Puzzle 1653: unknown
Puzzle 1654: unknown
Puzzle 1655: unknown
Puzzle 1656: unknown
Puzzle 1657: unknown
Puzzle 1658: unknown
Puzzle 1659: unknown
Puzzle 166: unknown
Puzzle 1660: unknown
Puzzle 1661: unknown
Puzzle 1662: unknown
Puzzle 1663: unknown
Puzzle 1664: unknown
Puzzle 1665: unknown
Puzzle 1666: unknown
Puzzle 1667: unknown
Puzzle 1668: unknown
Puzzle 1669: unknown
Puzzle 167: unknown
Puzzle 1670: unknown
Puzzle 1671: unknown
Puzzle 1672: unknown
Puzzle 1673: unknown
Puzzle 1674: unknown
Puzzle 1675: unknown
Puzzle 1676: unknown
Puzzle 1677: unknown
Puzzle 1678: unknown
Puzzle 1679: unknown
Puzzle 168: progression
Puzzle 1680: unknown
Puzzle 1681: unknown
Puzzle 1682: unknown
Puzzle 1683: unknown
Puzzle 1684: unknown
Puzzle 1685: unknown
Puzzle 1686: unknown
Puzzle 1687: unknown
Puzzle 1688: unknown
Puzzle 1689: unknown
Puzzle 169: unknown
Puzzle 1690: unknown
Puzzle 1691: unknown
Puzzle 1692: unknown
Puzzle 1693: unknown
Puzzle 1694: unknown
Puzzle 1695: unknown
Puzzle 1696: unknown
Puzzle 1697: unknown
Puzzle 1698: unknown
Puzzle 1699: unknown
Puzzle 17: unknown
Puzzle 170: unknown
Puzzle 1700: unknown
Puzzle 1701: unknown
Puzzle 1702: unknown
Puzzle 1703: unknown
Puzzle 1704: unknown
Puzzle 1705: unknown
Puzzle 1706: unknown
Puzzle 1707: unknown
Puzzle 1708: unknown
Puzzle 1709: unknown
Puzzle 171: unknown
Puzzle 1710: unknown
Puzzle 1711: unknown
Puzzle 1712: unknown
Puzzle 1713: unknown
Puzzle 1714: unknown
Puzzle 1715: unknown
Puzzle 1716: unknown
Puzzle 1717: unknown
Puzzle 1718: unknown
Puzzle 1719: unknown
Puzzle 172: unknown
Puzzle 1720: unknown
Puzzle 1721: unknown
Puzzle 1722: unknown
Puzzle 1723: unknown
Puzzle 1724: unknown
Puzzle 1725: unknown
Puzzle 1726: unknown
Puzzle 1727: unknown
Puzzle 1728: unknown
Puzzle 1729: unknown
Puzzle 173: unknown
Puzzle 1730: unknown
Puzzle 1731: unknown
Puzzle 1732: unknown
Puzzle 1733: unknown
Puzzle 1734: unknown
Puzzle 1735: unknown
Puzzle 1736: unknown
Puzzle 1737: unknown
Puzzle 1738: unknown
Puzzle 1739: unknown
Puzzle 174: progression
Puzzle 1740: unknown
Puzzle 1741: unknown
Puzzle 1742: unknown
Puzzle 1743: unknown
Puzzle 1744: unknown
Puzzle 1745: unknown
Puzzle 1746: unknown
Puzzle 1747: unknown
Puzzle 1748: unknown
Puzzle 1749: unknown
Puzzle 175: unknown
Puzzle 1750: unknown
Puzzle 1751: unknown
Puzzle 1752: unknown
Puzzle 1753: unknown
Puzzle 1754: unknown
Puzzle 1755: unknown
Puzzle 1756: unknown
Puzzle 1757: unknown
Puzzle 1758: unknown
Puzzle 1759: unknown
Puzzle 176: unknown
Puzzle 1760: unknown
Puzzle 1761: unknown
Puzzle 1762: unknown
Puzzle 1763: unknown
Puzzle 1764: unknown
Puzzle 1765: unknown
Puzzle 1766: unknown
Puzzle 1767: unknown
Puzzle 1768: unknown
Puzzle 1769: unknown
Puzzle 177: unknown
Puzzle 1770: unknown
Puzzle 1771: unknown
Puzzle 1772: unknown
Puzzle 1773: unknown
Puzzle 1774: unknown
Puzzle 1775: unknown
Puzzle 1776: unknown
Puzzle 1777: unknown
Puzzle 1778: unknown
Puzzle 1779: unknown
Puzzle 178: progression
Puzzle 1780: unknown
Puzzle 1781: unknown
Puzzle 1782: unknown
Puzzle 1783: unknown
Puzzle 1784: unknown
Puzzle 1785: unknown
Puzzle 1786: unknown
Puzzle 1787: unknown
Puzzle 1788: unknown
Puzzle 1789: unknown
Puzzle 179: unknown
Puzzle 1790: unknown
Puzzle 1791: unknown
Puzzle 1792: unknown
Puzzle 1793: unknown
Puzzle 1794: unknown
Puzzle 1795: unknown
Puzzle 1796: unknown
Puzzle 1797: unknown
Puzzle 1798: unknown
Puzzle 1799: unknown
Puzzle 18: unknown
Puzzle 180: progression
Puzzle 1800: unknown
Puzzle 1801: unknown
Puzzle 1802: unknown
Puzzle 1803: unknown
Puzzle 1804: unknown
Puzzle 1805: unknown
Puzzle 1806: unknown
Puzzle 1807: unknown
Puzzle 1808: unknown
Puzzle 1809: unknown
Puzzle 181: unknown
Puzzle 1810: unknown
Puzzle 1811: unknown
Puzzle 1812: unknown
Puzzle 1813: unknown
Puzzle 1814: unknown
Puzzle 1815: unknown
Puzzle 1816: unknown
Puzzle 1817: unknown
Puzzle 1818: unknown
Puzzle 1819: unknown
Puzzle 182: unknown
Puzzle 1820: unknown
Puzzle 1821: unknown
Puzzle 1822: unknown
Puzzle 1823: unknown
Puzzle 1824: unknown
Puzzle 1825: unknown
Puzzle 1826: unknown
Puzzle 1827: unknown
Puzzle 1828: unknown
Puzzle 1829: unknown
Puzzle 183: unknown
Puzzle 1830: unknown
Puzzle 1831: unknown
Puzzle 1832: unknown
Puzzle 1833: unknown
Puzzle 1834: unknown
Puzzle 1835: unknown
Puzzle 1836: unknown
Puzzle 1837: unknown
Puzzle 1838: unknown
Puzzle 1839: unknown
Puzzle 184: progression
Puzzle 1840: unknown
Puzzle 1841: unknown
Puzzle 1842: unknown
Puzzle 1843: unknown
Puzzle 1844: unknown
Puzzle 1845: unknown
Puzzle 1846: unknown
Puzzle 1847: unknown
Puzzle 1848: unknown
Puzzle 1849: unknown
Puzzle 185: unknown
Puzzle 1850: unknown
Puzzle 1851: unknown
Puzzle 1852: unknown
Puzzle 1853: unknown
Puzzle 1854: unknown
Puzzle 1855: unknown
Puzzle 1856: unknown
Puzzle 1857: unknown
Puzzle 1858: unknown
Puzzle 1859: unknown
Puzzle 186: progression
Puzzle 1860: unknown
Puzzle 1861: unknown
Puzzle 1862: unknown
Puzzle 1863: unknown
Puzzle 1864: unknown
Puzzle 1865: unknown
Puzzle 1866: unknown
Puzzle 1867: unknown
Puzzle 1868: unknown
Puzzle 1869: unknown
Puzzle 187: unknown
Puzzle 1870: unknown
Puzzle 1871: unknown
Puzzle 1872: unknown
Puzzle 1873: unknown
Puzzle 1874: unknown
Puzzle 1875: unknown
Puzzle 1876: unknown
Puzzle 1877: unknown
Puzzle 1878: unknown
Puzzle 1879: unknown
Puzzle 188: unknown
Puzzle 1880: unknown
Puzzle 1881: unknown
Puzzle 1882: unknown
Puzzle 1883: unknown
Puzzle 1884: unknown
Puzzle 1885: unknown
Puzzle 1886: unknown
Puzzle 1887: unknown
Puzzle 1888: unknown
Puzzle 1889: unknown
Puzzle 189: unknown
Puzzle 1890: unknown
Puzzle 1891: unknown
Puzzle 1892: unknown
Puzzle 1893: unknown
Puzzle 1894: unknown
Puzzle 1895: unknown
Puzzle 1896: unknown
Puzzle 1897: unknown
Puzzle 1898: unknown
Puzzle 1899: unknown
Puzzle 19: unknown
Puzzle 190: progression
Puzzle 1900: unknown
Puzzle 1901: unknown
Puzzle 1902: unknown
Puzzle 1903: unknown
Puzzle 1904: unknown
Puzzle 1905: unknown
Puzzle 1906: unknown
Puzzle 1907: unknown
Puzzle 1908: unknown
Puzzle 1909: unknown
Puzzle 191: unknown
Puzzle 1910: unknown
Puzzle 1911: unknown
Puzzle 1912: unknown
Puzzle 1913: unknown
Puzzle 1914: unknown
Puzzle 1915: unknown
Puzzle 1916: unknown
Puzzle 1917: unknown
Puzzle 1918: unknown
Puzzle 1919: unknown
Puzzle 192: unknown
Puzzle 1920: unknown
Puzzle 1921: unknown
Puzzle 1922: unknown
Puzzle 1923: unknown
Puzzle 1924: unknown
Puzzle 1925: unknown
Puzzle 1926: unknown
Puzzle 1927: unknown
Puzzle 1928: unknown
Puzzle 1929: unknown
Puzzle 193: unknown
Puzzle 1930: unknown
Puzzle 1931: unknown
Puzzle 1932: unknown
Puzzle 1933: unknown
Puzzle 1934: unknown
Puzzle 1935: unknown
Puzzle 1936: unknown
Puzzle 1937: unknown
Puzzle 1938: unknown
Puzzle 1939: unknown
Puzzle 194: unknown
Puzzle 1940: unknown
Puzzle 1941: unknown
Puzzle 1942: unknown
Puzzle 1943: unknown
Puzzle 1944: unknown
Puzzle 1945: unknown
Puzzle 1946: unknown
Puzzle 1947: unknown
Puzzle 1948: unknown
Puzzle 1949: unknown
Puzzle 195: progression
Puzzle 1950: unknown
Puzzle 1951: unknown
Puzzle 1952: unknown
Puzzle 1953: unknown
Puzzle 1954: unknown
Puzzle 1955: unknown
Puzzle 1956: unknown
Puzzle 1957: unknown
Puzzle 1958: unknown
Puzzle 1959: unknown
Puzzle 196: unknown
Puzzle 1960: unknown
Puzzle 1961: unknown
Puzzle 1962: unknown
Puzzle 1963: unknown
Puzzle 1964: unknown
Puzzle 1965: unknown
Puzzle 1966: unknown
Puzzle 1967: unknown
Puzzle 1968: unknown
Puzzle 1969: unknown
Puzzle 197: unknown
Puzzle 1970: unknown
Puzzle 1971: unknown
Puzzle 1972: unknown
Puzzle 1973: unknown
Puzzle 1974: unknown
Puzzle 1975: unknown
Puzzle 1976: unknown
Puzzle 1977: unknown
