ArmorBonus: filler
ArmorBrick: filler
ArmorDiamond: filler
ArmorWood: filler
BagOfHolding: filler
Berserk: filler
BlueArmor: filler
BlueCard (E1M3): progression
BlueCard (E1M4): progression
BlueCard (E1M5): progression
BlueCard (E1M6): progression
BlueCard (E1M7): progression
BlueCard (E1M9): progression
BlueCard (E2M1): progression
BlueCard (E2M2): progression
BlueCard (E2M3): progression
BlueCard (E2M4): progression
BlueCard (E2M7): progression
BlueCard (MAP02): progression
BlueCard (MAP03): progression
BlueCard (MAP04): progression
BlueCard (MAP05): progression
BlueCard (MAP06): progression
BlueCard (MAP09): progression
BlueCard (MAP10): progression
BlueCard (MAP11): progression
BlueCard (MAP12): progression
BlueCard (MAP13): progression
BlueCard (MAP15): progression
BlueCard (MAP17): progression
BlueCard (MAP24): progression
BlueCard (MAP26): progression
BlueFlemKey (E3M5): progression
BlueSkull (E2M6): progression
BlueSkull (E2M9): progression
BlueSkull (E3M2): progression
BlueSkull (E3M3): progression
BlueSkull (E3M4): progression
BlueSkull (E3M5): progression
BlueSkull (E3M6): progression
BlueSkull (E3M7): progression
BlueSkull (E3M9): progression
BlueSkull (E4M1): progression
BlueSkull (E4M2): progression
BlueSkull (E4M3): progression
BlueSkull (E4M5): progression
BlueSkull (E4M6): progression
BlueSkull (E4M7): progression
BlueSkull (MAP14): progression
BlueSkull (MAP16): progression
BlueSkull (MAP18): progression
BlueSkull (MAP19): progression
BlueSkull (MAP21): progression
BlueSkull (MAP22): progression
BlueSkull (MAP25): progression
BlueSkull (MAP27): unknown
BlurSphere: filler
Bullets: filler
Chaingun: progression
Chainsaw: progression
Chaos Device: filler
ChexArmor: filler
ChexBlueCard (E1M1): progression
ChexBlueCard (E1M2): progression
ChexBlueCard (E1M3): progression
ChexBlueCard (E1M4): progression
ChexBlueCard (E1M5): progression
ChexBlueCard (E2M1): progression
ChexBlueCard (E2M2): progression
ChexBlueCard (E2M3): progression
ChexBlueCard (E2M4): progression
ChexBlueCard (E2M5): progression
ChexBlueCard (E3M1): progression
ChexBlueCard (E3M2): progression
ChexBlueCard (E3M3): progression
ChexBlueCard (E3M4): progression
ChexRedCard (E1M1): progression
ChexRedCard (E1M2): progression
ChexRedCard (E1M3): progression
ChexRedCard (E1M5): progression
ChexRedCard (E2M1): progression
ChexRedCard (E2M2): progression
ChexRedCard (E2M3): progression
ChexRedCard (E2M4): progression
ChexRedCard (E2M5): progression
ChexRedCard (E3M1): progression
ChexRedCard (E3M2): progression
ChexRedCard (E3M3): progression
ChexRedCard (E3M4): progression
ChexYellowCard (E1M2): progression
ChexYellowCard (E1M3): progression
ChexYellowCard (E1M4): progression
ChexYellowCard (E1M5): progression
ChexYellowCard (E2M2): progression
ChexYellowCard (E2M3): progression
ChexYellowCard (E2M4): progression
ChexYellowCard (E2M5): progression
ChexYellowCard (E3M1): progression
ChexYellowCard (E3M2): progression
ChexYellowCard (E3M3): progression
ChexYellowCard (E3M4): progression
CircleKey (E1A2): unknown
CircleKey (E1A3): unknown
CircleKey (E1A7): unknown
CircleKey (E1A8): unknown
CircleKey (E2A4): progression
CircoolAid: filler
CrescentRune (E2A12): unknown
CrescentRune (E2A9): unknown
CubeKey (E2A1): unknown
CubeKey (E2A2): unknown
CubeKey (E2A6): unknown
DevilSphere: filler
DiamondRune (E2A12): unknown
DiamondRune (E2A5): unknown
Dragon Claw: progression
EnchantedShield: filler
Energy Cells: filler
EnviroSuit: filler
Ethereal Crossbow: progression
Firemace: progression
FishTank: filler
Gauntlets of the Necromancer: progression
GoonadesVO: unknown
GreenArmor: filler
HappySphere: useful
Health: unknown
HealthBonus: filler
Hellstaff: progression
HexagonKey (E2A12): unknown
HolySphere: unknown
HotSauce: unknown
Infrared: filler
InvulnerabilitySphere: filler
KeyBlue (E1M2): progression
KeyBlue (E1M5): progression
KeyBlue (E1M7): progression
KeyBlue (E1M9): progression
KeyBlue (E2M3): progression
KeyBlue (E2M4): progression
KeyBlue (E2M5): progression
KeyBlue (E2M6): progression
KeyBlue (E2M7): progression
KeyBlue (E2M9): progression
KeyBlue (E3M2): progression
KeyBlue (E3M3): progression
KeyBlue (E3M6): progression
KeyBlue (E3M7): progression
KeyBlue (E3M9): progression
KeyBlue (E4M2): progression
KeyBlue (E4M3): progression
KeyBlue (E4M5): progression
KeyBlue (E4M6): progression
KeyBlue (E4M7): progression
KeyBlue (E5M1): progression
KeyBlue (E5M3): progression
KeyBlue (E5M4): unknown
KeyBlue (E5M5): progression
KeyBlue (E5M6): progression
KeyBlue (E5M7): progression
KeyBlue (E5M9): progression
KeyGreen (E1M2): progression
KeyGreen (E1M3): progression
KeyGreen (E1M4): progression
KeyGreen (E1M5): progression
KeyGreen (E1M6): progression
KeyGreen (E1M7): progression
KeyGreen (E1M9): progression
KeyGreen (E2M1): progression
KeyGreen (E2M2): progression
KeyGreen (E2M3): progression
KeyGreen (E2M4): progression
KeyGreen (E2M5): progression
KeyGreen (E2M6): progression
KeyGreen (E2M7): progression
KeyGreen (E2M9): progression
KeyGreen (E3M1): progression
KeyGreen (E3M2): progression
KeyGreen (E3M3): progression
KeyGreen (E3M4): progression
KeyGreen (E3M5): progression
KeyGreen (E3M6): progression
KeyGreen (E3M7): progression
KeyGreen (E3M9): progression
KeyGreen (E4M1): progression
KeyGreen (E4M2): progression
KeyGreen (E4M3): progression
KeyGreen (E4M5): progression
KeyGreen (E4M6): progression
KeyGreen (E4M7): progression
KeyGreen (E5M1): progression
KeyGreen (E5M2): progression
KeyGreen (E5M3): progression
KeyGreen (E5M4): progression
KeyGreen (E5M5): progression
KeyGreen (E5M6): progression
KeyGreen (E5M7): progression
KeyGreen (E5M9): progression
KeyYellow (E1M1): progression
KeyYellow (E1M2): progression
KeyYellow (E1M3): unknown
KeyYellow (E1M4): progression
KeyYellow (E1M5): progression
KeyYellow (E1M6): unknown
KeyYellow (E1M7): progression
KeyYellow (E1M9): progression
KeyYellow (E2M1): progression
KeyYellow (E2M2): progression
KeyYellow (E2M3): progression
KeyYellow (E2M4): unknown
KeyYellow (E2M5): progression
KeyYellow (E2M6): progression
KeyYellow (E2M7): progression
KeyYellow (E2M9): progression
KeyYellow (E3M1): progression
KeyYellow (E3M2): progression
KeyYellow (E3M3): progression
KeyYellow (E3M4): progression
KeyYellow (E3M5): progression
KeyYellow (E3M6): progression
KeyYellow (E3M7): progression
KeyYellow (E3M9): progression
KeyYellow (E4M1): progression
KeyYellow (E4M2): progression
KeyYellow (E4M3): progression
KeyYellow (E4M5): progression
KeyYellow (E4M6): progression
KeyYellow (E4M7): progression
KeyYellow (E4M8): progression
KeyYellow (E4M9): progression
KeyYellow (E5M1): progression
KeyYellow (E5M2): progression
KeyYellow (E5M3): progression
KeyYellow (E5M4): progression
KeyYellow (E5M5): progression
KeyYellow (E5M6): progression
KeyYellow (E5M7): progression
KeyYellow (E5M9): progression
LAZ Device: progression
Large Zorcher: progression
Level Access (E1A1): unknown
Level Access (E1A10): unknown
Level Access (E1A3): unknown
Level Access (E1A6): unknown
Level Access (E1A7): unknown
Level Access (E1A9): unknown
Level Access (E1M1): progression
Level Access (E1M2): progression
Level Access (E1M3): progression
Level Access (E1M4): progression
Level Access (E1M5): progression
Level Access (E1M6): progression
Level Access (E1M7): progression
Level Access (E1M8): progression
Level Access (E1M9): progression
Level Access (E2A1): unknown
Level Access (E2A12): unknown
Level Access (E2A7): unknown
Level Access (E2A9): unknown
Level Access (E2M1): progression
Level Access (E2M2): progression
Level Access (E2M3): progression
Level Access (E2M4): progression
Level Access (E2M5): progression
Level Access (E2M6): progression
Level Access (E2M7): progression
Level Access (E2M8): progression
Level Access (E2M9): progression
Level Access (E3M1): progression
Level Access (E3M2): progression
Level Access (E3M3): progression
Level Access (E3M4): progression
Level Access (E3M5): progression
Level Access (E3M6): progression
Level Access (E3M7): progression
Level Access (E3M8): progression
Level Access (E3M9): progression
Level Access (E4M1): progression
Level Access (E4M2): progression
Level Access (E4M3): progression
Level Access (E4M4): progression
Level Access (E4M5): progression
Level Access (E4M6): progression
Level Access (E4M7): progression
Level Access (E4M8): progression
Level Access (E4M9): progression
Level Access (E5M1): progression
Level Access (E5M2): progression
Level Access (E5M3): progression
Level Access (E5M4): progression
Level Access (E5M5): progression
Level Access (E5M6): progression
Level Access (E5M7): progression
Level Access (E5M8): progression
Level Access (E5M9): progression
Level Access (MAP01): progression
Level Access (MAP02): progression
Level Access (MAP03): progression
Level Access (MAP04): progression
Level Access (MAP05): progression
Level Access (MAP06): unknown
Level Access (MAP07): progression
Level Access (MAP08): progression
Level Access (MAP09): progression
Level Access (MAP10): progression
Level Access (MAP11): progression
Level Access (MAP12): progression
Level Access (MAP13): progression
Level Access (MAP14): progression
Level Access (MAP15): progression
Level Access (MAP16): progression
Level Access (MAP17): progression
Level Access (MAP18): unknown
Level Access (MAP19): progression
Level Access (MAP20): unknown
Level Access (MAP21): progression
Level Access (MAP22): progression
Level Access (MAP23): progression
Level Access (MAP24): progression
Level Access (MAP25): progression
Level Access (MAP26): progression
Level Access (MAP27): progression
Level Access (MAP28): progression
Level Access (MAP29): progression
Level Access (MAP30): progression
Level Access (MAP31): progression
Level Access (MAP32): progression
Level Clear (E1A1): unknown
Level Clear (E1A2): unknown
Level Clear (E1A4): unknown
Level Clear (E1A5): unknown
Level Clear (E1A8): unknown
Level Clear (E1M1): mcguffin
Level Clear (E1M2): mcguffin
Level Clear (E1M3): mcguffin
Level Clear (E1M4): mcguffin
Level Clear (E1M5): mcguffin
Level Clear (E1M6): mcguffin
Level Clear (E1M7): mcguffin
Level Clear (E1M8): mcguffin
Level Clear (E1M9): mcguffin
Level Clear (E2A11): unknown
Level Clear (E2A12): filler
Level Clear (E2A2): unknown
Level Clear (E2A3): unknown
Level Clear (E2A4): unknown
Level Clear (E2A8): unknown
Level Clear (E2A9): unknown
Level Clear (E2M1): mcguffin
Level Clear (E2M2): mcguffin
Level Clear (E2M3): mcguffin
Level Clear (E2M4): mcguffin
Level Clear (E2M5): mcguffin
Level Clear (E2M6): mcguffin
Level Clear (E2M7): mcguffin
Level Clear (E2M8): mcguffin
Level Clear (E2M9): mcguffin
Level Clear (E3M1): mcguffin
Level Clear (E3M2): mcguffin
Level Clear (E3M3): mcguffin
Level Clear (E3M4): mcguffin
Level Clear (E3M5): mcguffin
Level Clear (E3M6): mcguffin
Level Clear (E3M7): mcguffin
Level Clear (E3M8): mcguffin
Level Clear (E3M9): mcguffin
Level Clear (E4M1): mcguffin
Level Clear (E4M2): mcguffin
Level Clear (E4M3): mcguffin
Level Clear (E4M4): mcguffin
Level Clear (E4M5): mcguffin
Level Clear (E4M6): mcguffin
Level Clear (E4M7): mcguffin
Level Clear (E4M8): mcguffin
Level Clear (E4M9): mcguffin
Level Clear (E5M1): mcguffin
Level Clear (E5M2): mcguffin
Level Clear (E5M3): mcguffin
Level Clear (E5M4): unknown
Level Clear (E5M5): mcguffin
Level Clear (E5M6): mcguffin
Level Clear (E5M7): mcguffin
Level Clear (E5M8): mcguffin
Level Clear (E5M9): mcguffin
Level Clear (MAP01): mcguffin
Level Clear (MAP02): unknown
Level Clear (MAP03): mcguffin
Level Clear (MAP04): unknown
Level Clear (MAP05): unknown
Level Clear (MAP06): unknown
Level Clear (MAP07): mcguffin
Level Clear (MAP09): unknown
Level Clear (MAP10): unknown
Level Clear (MAP11): unknown
Level Clear (MAP12): unknown
Level Clear (MAP13): unknown
Level Clear (MAP14): unknown
Level Clear (MAP15): mcguffin
Level Clear (MAP16): unknown
Level Clear (MAP17): unknown
Level Clear (MAP18): unknown
Level Clear (MAP19): unknown
Level Clear (MAP20): unknown
Level Clear (MAP21): unknown
Level Clear (MAP23): mcguffin
Level Clear (MAP24): mcguffin
Level Clear (MAP25): unknown
Level Clear (MAP26): unknown
Level Clear (MAP27): mcguffin
Level Clear (MAP28): unknown
Level Clear (MAP29): mcguffin
Level Clear (MAP30): unknown
Level Clear (MAP31): mcguffin
Level Clear (MAP32): unknown
Locationator: filler
Medikit: filler
Megasphere: filler
Morph Ovum: filler
Mystic Urn: filler
OoziVO: unknown
OozisVO: unknown
Phasing Zorcher: progression
Phoenix Rod: progression
Plasma Rifle: progression
Powerzade: filler
PyramidKey (E2A1): unknown
PyramidKey (E2A3): unknown
PyramidKey (E2A7): unknown
QuadcannonVO: unknown
RadSuit: filler
Rapid Zorcher: progression
RedCard (E1M2): progression
RedCard (E1M6): progression
RedCard (E1M7): progression
RedCard (E1M9): progression
RedCard (E2M1): progression
RedCard (E2M2): progression
RedCard (E2M7): progression
RedCard (MAP02): progression
RedCard (MAP03): progression
RedCard (MAP04): progression
RedCard (MAP05): progression
RedCard (MAP06): unknown
RedCard (MAP11): progression
RedCard (MAP13): progression
RedCard (MAP15): progression
RedCard (MAP17): progression
RedCard (MAP24): progression
RedCard (MAP26): progression
RedFlemKey (E3M5): progression
RedSkull (E2M6): progression
RedSkull (E2M9): progression
RedSkull (E3M4): progression
RedSkull (E3M7): progression
RedSkull (E3M9): progression
RedSkull (E4M1): progression
RedSkull (E4M3): progression
RedSkull (E4M4): progression
RedSkull (E4M5): progression
RedSkull (E4M6): progression
RedSkull (E4M7): progression
RedSkull (E4M8): progression
RedSkull (MAP08): unknown
RedSkull (MAP14): progression
RedSkull (MAP16): progression
RedSkull (MAP19): progression
RedSkull (MAP21): progression
RedSkull (MAP22): progression
RedSkull (MAP27): progression
RedSkull (MAP28): progression
RhombusKey (E1A7): unknown
Ring of Invincibility: filler
Rocket Launcher: progression
Rockets: filler
Shadowsphere: filler
ShotbowVO: unknown
Shotgun Shells: filler
Shotgun: progression
SillySphere: useful
SilverShield: filler
SlimeProofSuit: filler
Soulsphere: progression
SphereKey (E2A1): unknown
SphereKey (E2A7): unknown
SquareBackpack: unknown
SquareKey (E1A4): unknown
SquareKey (E1A5): unknown
SquareKey (E1A7): unknown
SquareKey (E1A8): unknown
SquareKey (E2A8): unknown
StarRune (E2A10): unknown
StarRune (E2A12): progression
StarRune (E2A5): unknown
Stimpack: filler
Super Bootspork: progression
Super Shotgun: progression
SuperChexArmor: filler
SuperchargeBreakfast: filler
Time Bomb of the Ancients: filler
Tome of Power: filler
Torch: filler
TrapezoidKey (E1A7): unknown
TriangleKey (E1A2): unknown
TriangleKey (E1A4): unknown
TriangleKey (E2A4): unknown
UltraGoggles: filler
Wings of Wrath: filler
YellowCard (E1M3): progression
YellowCard (E1M4): progression
YellowCard (E1M5): progression
YellowCard (E1M6): progression
YellowCard (E1M7): progression
YellowCard (E1M9): progression
YellowCard (E2M2): progression
YellowCard (E2M4): progression
YellowCard (E2M7): progression
YellowCard (MAP04): progression
YellowCard (MAP05): progression
YellowCard (MAP06): progression
YellowCard (MAP09): progression
YellowCard (MAP10): progression
YellowCard (MAP12): progression
YellowCard (MAP13): unknown
YellowCard (MAP15): progression
YellowCard (MAP26): progression
YellowFlemKey (E3M5): progression
YellowSkull (E2M6): progression
YellowSkull (E2M9): progression
YellowSkull (E3M4): progression
YellowSkull (E3M5): progression
YellowSkull (E3M7): progression
YellowSkull (E4M2): progression
YellowSkull (E4M5): progression
YellowSkull (E4M6): progression
YellowSkull (E4M7): progression
YellowSkull (E4M8): progression
YellowSkull (E4M9): progression
YellowSkull (MAP08): unknown
YellowSkull (MAP17): progression
YellowSkull (MAP18): progression
YellowSkull (MAP19): progression
YellowSkull (MAP21): progression
YellowSkull (MAP23): progression
YellowSkull (MAP27): progression
YellowSkull (MAP28): progression
Zorch Propulsor: progression
ZorchPack: filler
